Date,IBM,AAPL,GOOG,MSFT,INTC,FB,AMZN,C
4/2/2013,214.360001,429.789997,813.041394,28.799999,21.459999,25.42,263.320007,44.110001
4/3/2013,212.660004,431.989994,806.201387,28.559999,21.049999,26.25,259.029999,42.5
4/4/2013,211.309998,427.71999,795.071366,28.6,21.139999,27.07,259.079987,42.77
4/5/2013,209.410004,423.199993,783.051362,28.700001,20.940001,27.389999,255.479996,43.009998
4/8/2013,209.320007,426.209995,774.851354,28.59,21.09,26.85,258.950012,43.560001
4/9/2013,209.220001,426.98,777.651304,29.610001,21.75,26.59,261.140015,43.889999
4/10/2013,212,435.689999,790.181331,30.280001,22.26,27.57,264.769989,45.060001
4/11/2013,212.919998,434.329994,790.391345,28.940001,21.83,28.02,269.850006,44.869999
4/12/2013,211.380005,429.800011,790.051329,28.790001,21.68,27.4,272.869995,44.779999
4/15/2013,209.259995,419.85001,781.931333,28.690001,21.379999,26.52,267.720001,44.869999
4/16/2013,212,426.240009,793.37135,28.969999,21.92,26.92,272.339996,46.66
4/17/2013,209.669998,402.800007,782.561372,28.83,21.93,26.629999,267.399994,45.740002
4/18/2013,207.149994,392.049988,765.911339,28.790001,22.24,25.690001,259.420013,45.09
4/19/2013,190,390.530006,799.871342,29.77,22.440001,25.73,260.320007,45.029999
4/22/2013,187.830002,398.670006,800.111374,30.83,22.879999,25.969999,263.549988,45.150002
4/23/2013,191.610001,406.12999,807.901403,30.6,23.379999,25.98,268.899994,46.459999
4/24/2013,191.710007,405.459988,813.451373,31.76,23.66,26.110001,268.779999,47.119999
4/25/2013,193.949997,408.380001,809.101381,31.940001,23.379999,26.139999,274.700012,47.110001
4/26/2013,194.309998,417.199989,801.421383,31.790001,23.4,26.85,254.809998,46.919998
4/29/2013,199.149994,430.119991,819.061382,32.610001,23.76,26.98,249.740005,46.82
4/30/2013,202.539993,442.779987,824.571408,33.099998,23.950001,27.77,253.809998,46.66
5/1/2013,199.630005,439.290001,820.431429,32.720001,23.99,27.43,248.229996,45.869999
5/2/2013,202.389999,445.519997,829.611416,33.16,24.110001,28.969999,252.550003,46.540001
5/3/2013,204.509995,449.980019,845.721469,33.490002,23.959999,28.309999,258.049988,46.970001
5/6/2013,202.779999,460.709984,861.551483,33.75,23.91,27.57,255.720001,47.48
5/7/2013,203.630005,458.660004,857.231449,33.310001,24.15,26.889999,257.730011,48.110001
5/8/2013,204.820007,463.839989,873.631526,32.990002,24.25,27.120001,258.679993,49.290001
5/9/2013,203.240005,456.769974,871.481464,32.66,24.360001,27.040001,260.160004,48.599998
5/10/2013,204.470001,452.969994,880.2315,32.689999,24.5,26.68,263.630005,48.75
5/13/2013,202.470001,454.740021,877.531533,33.029999,24.08,26.82,264.51001,48.919998
5/14/2013,203.210007,443.860012,887.101527,33.529999,23.84,27.07,268.329987,50.09
5/15/2013,203.320007,428.850002,915.89158,33.849998,24.200001,26.6,266.559998,51.34
