date,perP,perN,app,anp,sentiment
2015-04-27,0.4375,0.5625,-42.807426462264324,-33.58749785111498,0
2015-04-28,0.3584905660377358,0.6415094339622641,-44.578706097177275,-24.62024653922202,0
2015-04-29,0.47368421052631576,0.5263157894736842,-53.14319402500137,-47.707263211423836,0
2015-04-30,0.5176470588235295,0.4823529411764706,-37.422940921982985,-40.34875799662721,1
2015-05-01,0.42346938775510207,0.576530612244898,-45.925352974389504,-33.49739831704088,0
2015-05-02,0.45774647887323944,0.5422535211267606,-49.7564078416725,-41.79310679110179,0
2015-05-03,0.4606741573033708,0.5393258426966292,-48.11883515386852,-40.76058607706711,0
2015-05-04,0.47863247863247865,0.5213675213675214,-41.60546536975577,-38.15807293338323,0
2015-05-05,0.5339805825242718,0.46601941747572817,-30.68883977714167,-35.23635187965908,1
2015-05-06,0.5212765957446809,0.4787234042553192,-39.82388137340159,-43.31444220727314,1
2015-05-07,0.4262295081967213,0.5737704918032787,-43.10422409744895,-31.504624316670107,0
2015-05-08,0.4025974025974026,0.5974025974025974,-50.56471648192946,-33.57111137292479,0
2015-05-09,0.3617021276595745,0.6382978723404256,-49.25806403600119,-27.235620387323692,0
2015-05-10,0.5172413793103449,0.4827586206896552,-33.09754612610511,-35.513165794757015,1
2015-05-11,0.38095238095238093,0.6190476190476191,-51.18583817757989,-30.785041514862222,0
2015-05-12,0.49074074074074076,0.5092592592592593,-40.97431089110328,-39.40107496353189,0
2015-05-13,0.4722222222222222,0.5277777777777778,-42.36676558658072,-37.64755826466919,0
2015-05-14,0.38823529411764707,0.611764705882353,-48.645894217855485,-30.447617299031926,0
2015-05-15,0.39285714285714285,0.6071428571428571,-48.909321045026765,-31.4853212897245,0
2015-05-16,0.40350877192982454,0.5964912280701754,-56.67749066535307,-37.8410268727146,0
2015-05-17,0.43478260869565216,0.5652173913043478,-48.85716481785744,-36.86998312605413,0
2015-05-18,0.4393939393939394,0.5606060606060606,-48.02132561112378,-37.2401713635392,0
2015-05-19,0.3787878787878788,0.6212121212121212,-48.88102930393351,-29.504506607469494,0
2015-05-20,0.29850746268656714,0.7014925373134329,-69.9321694383506,-29.050280136637372,0
2015-05-21,0.34328358208955223,0.6567164179104478,-58.65175471170793,-29.79609009895736,0
2015-05-22,0.4605263157894737,0.5394736842105263,-34.17284377458664,-29.22960302161268,0
2015-05-23,0.4909090909090909,0.509090909090909,-39.94395147286864,-38.95998529899464,0
2015-05-24,0.39166666666666666,0.6083333333333333,-56.62686825103843,-36.099970273638114,0
2015-05-25,0.4444444444444444,0.5555555555555556,-36.01994889505726,-28.584724118365337,0
2015-05-26,0.42857142857142855,0.5714285714285714,-48.98363338423071,-36.34552637851111,0
2015-05-27,0.4186046511627907,0.5813953488372093,-46.22074913884896,-32.626732752031764,0
2015-05-28,0.3246753246753247,0.6753246753246753,-57.30833782062918,-27.151268804666042,0
2015-05-29,0.40350877192982454,0.5964912280701754,-45.345327866954506,-30.000277782118907,0
2015-05-30,0.38666666666666666,0.6133333333333333,-56.740791068716796,-35.428300221532865,0
2015-05-31,0.35294117647058826,0.6470588235294118,-53.61858318842091,-28.79594527259996,0
2015-06-01,0.34328358208955223,0.6567164179104478,-56.00027173897509,-28.702373381728616,0
2015-06-02,0.4107142857142857,0.5892857142857143,-48.50174218350682,-33.509450485132646,0
2015-06-03,0.4142857142857143,0.5857142857142857,-45.45615560227301,-30.92493790223915,0
2015-06-04,0.36507936507936506,0.6349206349206349,-53.61704933657984,-30.61669419039557,0
2015-06-05,0.29508196721311475,0.7049180327868853,-72.38986718172444,-29.952284881106365,0
2015-06-06,0.41509433962264153,0.5849056603773585,-57.445756298253535,-40.14569987198304,0
2015-06-07,0.4375,0.5625,-30.634865252764524,-23.760696341818814,0
2015-06-08,0.3673469387755102,0.6326530612244898,-50.90559220627855,-28.959472625760085,0
2015-06-09,0.4805194805194805,0.5194805194805194,-31.435149941026978,-28.921268029912614,0
2015-06-10,0.40540540540540543,0.5945945945945946,-51.67233032594361,-34.97840280241861,0
2015-06-11,0.44594594594594594,0.5540540540540541,-42.582159058948655,-33.576229797750806,0
2015-06-12,0.35,0.65,-56.89623051519323,-29.98881770189318,0
2015-06-13,0.46296296296296297,0.5370370370370371,-40.159521332461075,-34.442727723521635,0
2015-06-14,0.4507042253521127,0.5492957746478874,-47.320698715792524,-38.169425343558174,0
2015-06-15,0.5675675675675675,0.43243243243243246,-31.193492241279127,-40.922936221502994,1
2015-06-16,0.38461538461538464,0.6153846153846154,-52.540438455452424,-32.17603733586461,0
2015-06-17,0.2727272727272727,0.7272727272727273,-63.574867229249406,-23.357398664996552,0
2015-06-18,0.4578313253012048,0.5421686746987951,-40.905341426541064,-34.42807942947027,0
2015-06-19,0.5795454545454546,0.42045454545454547,-30.39812473988448,-41.91523303789225,1
2015-06-20,0.43636363636363634,0.5636363636363636,-43.80028349016209,-33.80776068599498,0
2015-06-21,0.3902439024390244,0.6097560975609756,-46.38909169268206,-29.104605909376016,0
2015-06-22,0.4318181818181818,0.5681818181818182,-44.13772503120437,-33.04353170506177,0
2015-06-23,0.38961038961038963,0.6103896103896104,-49.8510929129016,-31.410039614700906,0
2015-06-24,0.47126436781609193,0.5287356321839081,-37.80460243637711,-33.379138948164794,0
2015-06-25,0.3283582089552239,0.6716417910447762,-66.78813851617666,-31.628508124999296,0
2015-06-26,0.5,0.5,-36.292882472732494,-36.24775467586643,0
2015-06-27,0.36619718309859156,0.6338028169014085,-46.7013659726877,-26.594855443637204,0
